职位名称,职位类别,人数,地点,发布时间
22850-腾讯视频VIP会员渠道运营经理,产品/项目类,1,深圳,2017-12-15
SNG11-高级自然语言处理工程师（深圳）,技术类,1,深圳,2017-12-15
15585-斗战神端游后台开发,技术类,1,深圳,2017-09-29
MIG07-系统安全研究员（北京）,技术类,3,北京,2017-12-15
MIG07-安全服务工程师（深圳）,技术类,1,深圳,2017-12-15
22989-腾讯云交通能源行业产品经理（深圳）,产品/项目类,2,深圳,2017-12-15
23672-腾讯新闻直播业务策划编辑（北京）,内容编辑类,1,北京,2017-12-15
21229-回合手游商业化本地化策划（深圳）,产品/项目类,1,深圳,2017-12-15
23671-资深内容/产品运营经理(北京）,产品/项目类,1,北京,2017-12-15
22086-前端开发（北京）,技术类,1,北京,2017-12-15
HY1-高级原画设计师（深圳）,设计类,1,深圳,2017-10-18
GY0-Business Development Manager（Malaysia ）,市场类,2,马来西亚,2017-10-18
15569-QQ飞车手游高级游戏TA,设计类,1,深圳,2017-10-18
15569-QQ飞车手游高级关卡策划,产品/项目类,1,深圳,2017-10-18
22989-游戏云后台研发高级工程师,技术类,2,深圳,2017-10-18
23872-市场分析经理（深圳）,市场类,1,深圳,2017-10-19
16175-海外广告投放经理,市场类,1,深圳,2017-10-18
WXG08-122 微信数据挖掘算法工程师（广州）,技术类,1,广州,2017-10-18
WXG02-122 语音合成研究员（北京/广州/成都）,技术类,1,北京,2017-10-18
GY0-高级交互设计师（深圳）,设计类,1,深圳,2017-10-18
AQ-数据分析经理,职能类,2,深圳,2017-12-15
SNG06-企鹅电竞Android高级开发工程师（深圳）,技术类,1,深圳,2017-12-15
SNG06-企鹅电竞Android开发工程师（深圳）,技术类,1,深圳,2017-12-15
16811-IP运作总监,None,1,北京,2017-12-15
15571-FPS手游后台开发工程师（深圳）,技术类,1,深圳,2017-12-15
MIG16-地图数据工艺产品经理(北京),产品/项目类,2,北京,2017-12-15
SNG06-鹅漫U品影视IP商务经理（深圳）,市场类,1,深圳,2017-12-15
14914-互动传播经理（深圳）,None,2,深圳,2017-12-15
GY0-JOOX 后台开发工程师（深圳）,技术类,2,深圳,2017-12-15
ZSC-涉外商标律师（美国）,职能类,1,深圳,2017-12-15
MIG03-腾讯MIG研发部架构师（深圳）,技术类,2,深圳,2017-10-23
MIG05-安全高级品牌经理（深圳）,市场类,1,深圳,2017-10-20
20503-深度学习图像算法研究(合肥),技术类,2,合肥,2017-12-15
HY2-后台开发高级工程师（深圳）,技术类,1,深圳,2017-12-15
22990-行业大客户销售经理（深圳）,市场类,1,深圳,2017-10-19
15573-MMORPG手游高级策划（上海）,产品/项目类,1,上海,2017-10-19
19116-互联网+生态运营高级经理（上海）,市场类,1,上海,2017-10-19
22990-行业解决方案顾问（上海）,产品/项目类,1,上海,2017-10-19
22990-行业大客户销售leader（北京）,市场类,1,北京,2017-10-19
WXG01-122 微信数据科学家,技术类,2,广州,2017-10-19
SA-腾讯社交广告联盟策略开发工程师（北京）,技术类,1,北京,2017-12-15
17520-自研游戏策划（深圳）,产品/项目类,2,深圳,2017-12-14
23517-产品优化及本地化,产品/项目类,1,深圳,2017-12-14
MIG03-车联网测试负责人（深圳）,技术类,2,深圳,2017-10-19
MIG03-移动端高级测试开发工程师（深圳）,技术类,1,深圳,2017-10-19
SNG04-厘米秀产品策划(深圳),产品/项目类,1,深圳,2017-10-23
SNG11-安全合规岗（深圳）,技术类,1,深圳,2017-10-23
22989-腾讯云高级产品经理(互联网业务)（北京）,产品/项目类,2,北京,2017-10-23
SNG16-QQ音乐/全民k歌搜索后台开发工程师（深圳）,技术类,1,深圳,2017-10-23
CG-运营类采购商务主管,职能类,1,深圳,2017-10-23
XN-彩票供应链产品运营（深圳）,产品/项目类,1,深圳,2017-12-14
22989-腾讯云公检法行业架构师（北京）,技术类,2,北京,2017-12-14
SNG11-腾讯云移动安全产品经理（深圳）,产品/项目类,3,深圳,2017-12-14
SNG11-人工智能研究员（深圳）,技术类,6,深圳,2017-12-14
SNG11-安全AI研究员（深圳）,技术类,1,深圳,2017-12-14
WXG02-微信视频内核高级工程师（深圳， 广州， 北京）,技术类,1,深圳,2017-12-14
TEG05-高级网络安全工程师（深圳）,技术类,1,深圳,2017-12-14
MIG16-腾讯地图产品经理（北京）,产品/项目类,1,北京,2017-10-23
23671-企鹅号客户端产品总监（北京）,产品/项目类,1,北京,2017-10-23
23671-企鹅号电商策划运营（北京）,产品/项目类,1,北京,2017-10-23
TEG05-高级运营开发工程师（深圳）,技术类,1,深圳,2017-12-14
TEG05-安全数据分析工程师（深圳）,技术类,2,深圳,2017-12-14
TEG05-高级后台研发工程师（深圳）,技术类,4,深圳,2017-12-14
SNG11-PHP高级开发工程师（深圳）,技术类,2,深圳,2017-12-14
23672-腾讯新闻视频拍客编辑（北京）,内容编辑类,1,北京,2017-12-14
TEG05-高级运维工程师（深圳）,技术类,1,深圳,2017-12-14
23671-企鹅号内容发行运营经理（北京）,产品/项目类,1,北京,2017-10-23
23671-资深渠道/产品运营经理(上海）,产品/项目类,1,上海,2017-10-23
TEG05-高级产品策划经理（深圳）,产品/项目类,1,深圳,2017-12-14
TEG05-高级安全策略工程师（深圳）,技术类,2,深圳,2017-12-14
SNG02-腾讯云应用业务开发工程师（深圳）,技术类,4,深圳,2017-10-24
S2-大数据开发高级工程师（深圳）,技术类,1,深圳,2017-10-24
S2-高级财务分析经理（深圳）,职能类,1,深圳,2017-10-24
23671-高级前端广告工程师,技术类,1,北京,2017-10-24
商业运营产品经理,产品/项目类,1,北京,2017-10-24
22025-王者荣耀国际版-手游资深特效设计师（深圳）,设计类,1,深圳,2017-10-24
23296-市场与用户研究经理,市场类,1,上海,2017-10-23
22989-移动云解决方案架构师（北京/上海/深圳）,技术类,2,深圳,2017-10-23
23671-高级广告后台工程师（北京）,技术类,1,北京,2017-10-24
18797-游戏UI设计师（深圳）,设计类,1,深圳,2017-10-24
HY2-手游SDK终端安卓开发工程师(深圳),技术类,1,深圳,2017-10-24
15616-MMOG文案策划（上海）,产品/项目类,1,上海,2017-10-24
HY2-数据挖掘后台开发工程师（深圳）,技术类,1,深圳,2017-10-24
15573-手游客户端开发工程师（上海）,技术类,1,上海,2017-10-23
GY0-JOOX产品策划（深圳）,产品/项目类,1,深圳,2017-10-23
TEG02-资深网络架构师（深圳）,技术类,1,深圳,2017-12-14
TEG02-NFV网络研发工程师（深圳）,技术类,1,深圳,2017-12-14
22989-腾讯云产品运营（深圳）,产品/项目类,2,深圳,2017-12-14
14914-信息传播公关经理（深圳）,None,1,北京,2017-12-14
19822-影视美术经理（深圳）,设计类,1,深圳,2017-12-14
S2-高级财务分析经理 （深圳）,职能类,1,深圳,2017-10-26
HY1-高级移动视频开发工程师,技术类,1,深圳,2017-10-25
MIG16-计算机视觉高级算法工程师（北京）,技术类,1,北京,2017-10-25
23671-Android开发高级工程师(北京）,技术类,1,北京,2017-10-25
MIG-招聘经理（深圳）,职能类,1,深圳,2017-10-24
22989-腾讯云-服务器散热工程师（深圳）,技术类,1,深圳,2017-12-14
22989-腾讯云-服务器结构工程师（深圳）,技术类,1,深圳,2017-12-14
SA-腾讯社交广告商业化产品经理（内广方向 深圳）,产品/项目类,1,深圳,2017-12-14
21229-游戏运营商业化策划（上海）,产品/项目类,1,上海,2017-12-14
21229-绝地求生社群生态建设（上海）,产品/项目类,3,上海,2017-12-14
TEG14-交易型业务后台开发工程师（深圳）,技术类,3,深圳,2017-12-14
TEG14-MongoDB研发工程师（深圳）,技术类,1,深圳,2017-12-14
OMG192-腾讯广告电通安吉斯集团销售组长(上海),市场类,1,上海,2017-12-14
15579-游戏后台开发工程师（深圳）,技术类,2,深圳,2017-10-26
MIG16-自动驾驶模拟仿真工程师(北京),技术类,1,北京,2017-10-26
OMG192-腾讯广告华南渠道销售经理（广州）,市场类,2,广州,2017-12-14
22989-腾讯云运营经理（深圳）,产品/项目类,2,深圳,2017-12-14
15618-项目经理（上海）,产品/项目类,1,上海,2017-10-26
22990-战略BD经理（上海）,市场类,1,上海,2017-10-26
MIG09-QQ浏览器内容策略高级产品经理（北京）,产品/项目类,1,北京,2017-10-26
SNG16-全民K歌直播营收产品策划（深圳）,产品/项目类,1,深圳,2017-10-26
MIG16-自动驾驶高精地图-工具研发(北京),技术类,1,北京,2017-10-26
MIG16-自动驾驶机器人SLAM算法工程师(北京),技术类,1,北京,2017-10-26
MIG16-自动驾驶深度学习(北京),技术类,1,北京,2017-10-26
SA-腾迅社交广告KA渠道运营经理（北京）,产品/项目类,1,北京,2017-10-26
S2-投资公司管理经理（深圳）,职能类,1,深圳,2017-10-26
SNG16-腾讯音乐后台质量测试工程师（深圳）,技术类,1,深圳,2017-10-26
SNG16-腾讯音乐专项测试开发岗（深圳）,技术类,1,深圳,2017-10-26
22989-云平台PHP开发工程师（深圳）,技术类,2,深圳,2017-10-26
